Golden Litter
Sun Ship
Moon Barge
Star Raft
Mountain Bridge
Valley Road
Stone Terrace
Irrigation Canal
High Fortress
Deep Storage
Sacred Valley
Royal Highway
Silver Mountain
Copper Mine
Woolen Cloak
Cotton Tunic
Gold Mask
Silver Goblet
Jade Earring
Shell Trumpet
Llama Caravan
Alpaca Herd
Vicuna Fleece
Guanaco Hunt
Condor Flight
Puma Strength
Serpent Wisdom
Jaguar Stealth
Fox Cunning
Bear Might
Maize Field
Potato Patch
Quinoa Harvest
Coca Leaf
Cotton Boll
Salt Mine
Fish Net
Bird Feather
Stone Tool
Bronze Axe
Clay Pot
Woven Basket
Reed Boat
Grass Rope
Leather Sandal
Wooden Staff
Painted Cloth
Beaded Belt
Feathered Crown
Gold Disc
Sun Temple
Moon House
Star Gate
Earth Mother
Water Lord
Fire Spirit
Wind Messenger
Cloud Dweller
Rain Maker
Thunder Strike
Sacred Spring
Holy Rock
Ancient Cave
High Pass
Wide Plain
Narrow Trail
Hanging Bridge
Stone Wall
Thatch Roof
Clay Hearth
Drinking Cup
Food Plate
Cooking Pot
Storage Jar
Offering Bowl
Incense Burner
Sacred Bundle
Quipu Record
Tambo Rest
Pucara Guard
Sapa Inca
Coya Queen
Auqui Prince
Nusta Princess
Apu Lord
Curaca Chief
Chasqui Runner
Willac Umu Priest
Mamaconas Nun
Yanaconas Servant
