Swift Canoe
Great War Canoe
Silent River
Flying Eagle
Spirit Wind
Moon Dancer
Sun Runner
Water Strider
Forest Shadow
Mountain Path
River Song
Cloud Chaser
Star Gazer
Storm Bringer
Thunder Bird
Light Foot
Deep Water
Rapid Flow
Calm Lake
Silver Fish
Golden Leaf
Red Cedar
White Pine
Black Walnut
Strong Oak
Tough Ash
Flexible Willow
Birch Bark
Maple Sap
Sweet Grass
Wampum Belt
Flint Knife
Stone Axe
Bone Needle
Clay Pot
Leather Pouch
Feathered Headdress
Painted Shield
Sacred Pipe
Medicine Bag
Wolf Spirit
Bear Strength
Turtle Patience
Deer Swiftness
Beaver Industry
Snipe Alertness
Heron Grace
Hawk Vision
Eel Agility
Snake Wisdom
Morning Mist
Evening Star
Midday Sun
Midnight Moon
Spring Blossom
Summer Heat
Autumn Harvest
Winter Chill
North Wind
South Breeze
East Light
West Dusk
Falling Rain
Drifting Snow
Rolling Thunder
Flashing Lightning
Glowing Ember
Rising Smoke
Whirling Dust
Flowing Sap
Hidden Root
Growing Branch
Opening Flower
Ripening Fruit
Falling Seed
Green Meadow
Dense Thicket
Open Clearing
Rocky Ridge
Sandy Shore
Deep Cave
High Peak
Wide Valley
Narrow Gorge
Bending River
Straight Path
Ancient Trail
New Track
Guided Step
Sure Foot
